MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Ipc,Kappa2,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeteroatoms,NumSaturatedHeterocycles,MolLogP,Value
13.464584,0.08148024,-4.595636,0.3092968,12.611111,539.337,0.9444444,35.496784,-2.2518609,6.31668,-0.1438118,3.0683954,1.8081837,78677096.0,9.9073515,9.84339,5.7495117,6.103966,0.0,0.0,17.835348,9.134199,9.589074,13.171246,0.0,41.40098,60.51521,5.022633,34.709,27.809174,40.204586,0.0,9.134199,0.0,32.293514,0.0,5.7495117,10.426606,13.171246,5.7495117,23.20188,26.314,24.060349,0.0,11.0334015,73.46,29.502766,22.760319,0.0,29.378359,16.102785,17.696186,34.25704,30.331835,0.0,0.0,33.04527,24.578375,9.780044,0.24419205,-1.1151502,-5.779797,1.3552557,0.0,1.0,0.0,0.0,1.0,11.0,0.0,6.0771,5.32
13.244954,0.15843277,-0.94054896,0.23325609,14.880953,560.65,0.95238096,16.57258,-2.4765258,5.992534,0.060562804,3.2482374,1.1912154,4062160000.0,11.087486,24.464142,6.606882,17.60299,0.0,5.90718,5.9693055,4.794537,4.794537,0.0,0.0,54.597305,79.42322,28.705061,11.605292,24.169327,22.77941,0.0,9.883888,0.0,39.461777,6.606882,22.625927,14.790515,0.0,11.499023,0.0,40.302803,6.5447564,13.847474,22.029827,89.79,5.9693055,14.695601,0.0,23.616438,35.777565,33.28721,0.0,12.132734,85.78651,23.731363,9.473726,24.905151,13.677192,6.8344746,0.30006602,-0.29014766,7.114627,0.0,2.0,0.0,1.0,1.0,7.0,0.0,6.62994,8.52
13.190091,0.019491527,-3.7960043,0.6381514,13.935484,436.489,0.9032258,32.23343,-2.3557696,7.887175,0.06977222,2.7867997,1.5834394,10838015.0,8.329462,10.423316,0.0,0.0,10.023292,5.90718,5.9693055,4.794537,13.212335,4.305216,0.0,42.46457,47.87956,18.652964,16.14632,23.1134,27.587162,0.0,4.305216,0.0,17.861061,11.861545,0.0,5.3167887,5.6873865,0.0,0.0,36.250782,22.988869,0.0,0.0,103.78,21.899776,23.1134,0.0,28.25453,12.965578,11.126903,40.70342,12.132734,24.265469,5.3167887,0.0,24.06694,11.828934,2.321164,-1.7570852,0.62654024,0.6415429,-3.7960043,2.0,0.0,1.0,0.0,8.0,0.0,3.3841,5.1
13.554161,0.07761801,-0.25100303,0.08636937,11.555555,722.886,0.7592593,16.480124,-2.3786871,6.119018,0.09500566,3.5750167,1.1244533,1573146300000.0,18.530075,29.424364,23.866154,5.783245,5.8907237,5.90718,0.0,9.589074,4.9839787,0.0,0.0,78.86277,87.600655,53.493366,12.30081,23.479952,17.377811,0.0,15.200677,0.0,25.80722,45.71541,22.9532,20.107304,5.6873865,11.499023,0.0,68.01478,12.841643,6.923737,11.454175,105.93,0.0,9.589074,0.0,17.732265,66.61814,34.875347,0.0,12.132734,147.24634,15.617556,13.890877,33.686214,6.6821074,5.221941,2.4866724,1.1848637,3.9632096,3.972196,2.0,0.0,0.0,1.0,9.0,0.0,7.89612,5.2
13.592305,0.14876494,-1.0724729,0.31208,11.805555,508.958,1.0277778,35.495693,-2.2246723,6.3099275,-0.14371462,3.1517918,1.8086619,114158770.0,10.293102,23.884216,17.1462,11.887212,5.879988,0.0,5.9693055,4.794537,4.794537,4.9839787,0.0,11.60094,67.941864,27.732605,26.327803,28.90619,34.38689,0.0,9.551078,0.0,26.496197,14.219595,17.379011,14.210588,0.0,17.379011,11.60094,46.73372,11.3392935,6.923737,11.0334015,99.88,12.073272,14.695601,0.0,12.328001,55.81933,0.0,14.033535,55.640736,17.557203,4.9839787,25.81153,29.410402,10.318156,2.9823067,0.21645632,-1.0205382,3.578393,3.0973892,1.0,0.0,0.0,2.0,9.0,0.0,5.14652,8.7
12.351052,0.036963426,-1.1462603,0.41053906,11.935484,426.553,0.9032258,16.516842,-2.1978831,5.9615703,-0.14501071,2.7265666,2.476055,5168872.5,11.539019,14.580254,11.499023,5.783245,6.103966,0.0,5.9693055,4.794537,4.794537,0.0,0.0,45.74559,62.08149,17.547724,6.103966,24.169327,11.75255,0.0,0.0,0.0,78.930725,0.0,11.499023,9.473726,0.0,11.499023,0.0,22.963043,17.63618,0.0,0.0,72.83,12.073272,14.695601,0.0,11.887212,41.888393,23.968546,0.0,24.265469,32.903946,13.847474,9.473726,24.46751,9.9148245,2.9847674,0.2942979,2.4780006,9.83469,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.1762,6.7
11.3890915,0.2841671,-0.97689325,0.3727241,12.090909,445.515,1.030303,16.503384,-2.244467,5.91179,-0.14784689,3.1809196,1.5006291,35395308.0,9.877603,18.997404,11.509759,6.103966,5.8907237,0.0,5.9693055,0.0,9.778516,0.0,0.0,48.530937,42.493336,30.901117,12.30081,23.79194,16.741755,0.0,4.9839787,0.0,32.793083,13.71668,17.203688,4.736863,0.0,5.7495117,0.0,35.88046,22.373043,13.847474,22.226624,81.79,12.073272,9.901065,0.0,6.4208217,18.918428,44.66649,7.1097975,0.0,74.51115,0.0,18.874855,16.079977,11.228293,3.8868394,1.1867963,0.0063568004,4.403218,1.411576,1.0,0.0,0.0,1.0,6.0,0.0,5.37524,6.1
12.847007,0.11322931,-0.9398336,0.2232324,11.025641,518.613,0.84615386,16.365719,-2.2515068,5.990748,0.069709145,3.1832373,1.3236917,724241700.0,10.874077,20.096943,5.7495117,0.0,0.0,5.90718,5.9693055,4.794537,4.794537,0.0,0.0,54.597305,84.48376,35.249817,5.5634513,19.80213,22.77941,0.0,9.883888,0.0,26.813053,6.5447564,16.876415,5.3167887,0.0,5.7495117,0.0,33.201397,12.965578,13.847474,22.029827,91.56,5.9693055,19.80213,0.0,17.220142,30.637238,38.85066,0.0,24.265469,66.73004,23.731363,0.0,24.465483,22.986925,7.9452553,-0.8241582,0.6839877,5.332952,0.0,3.0,0.0,0.0,1.0,6.0,0.0,6.34974,7.32
12.885333,0.008803207,-0.9244215,0.29105762,14.1081085,494.635,0.9459459,16.36567,-2.2972302,5.990669,0.06971031,3.1657307,1.3520397,315235360.0,10.632774,14.990416,0.0,0.0,0.0,5.90718,5.9693055,4.794537,4.794537,0.0,0.0,61.727036,79.1263,35.249817,5.5634513,14.695601,22.77941,0.0,9.883888,5.9179063,52.496338,6.5447564,11.126903,5.3167887,0.0,0.0,0.0,28.094868,6.5447564,19.76538,22.029827,71.33,5.9693055,14.695601,0.0,5.90718,29.153017,28.574585,43.36149,12.132734,36.3982,41.930466,0.0,24.499405,13.792404,7.2184067,-0.30868262,6.2998667,5.700913,0.0,2.0,1.0,0.0,1.0,5.0,0.0,6.98174,7.11
13.224652,0.06926993,-1.039565,0.21525013,12.8,563.094,0.95,35.495693,-2.2621727,6.3096933,-0.14371595,3.1395197,1.569795,558128640.0,12.046445,24.464142,11.499023,6.103966,0.0,5.90718,5.9693055,4.794537,4.794537,0.0,0.0,23.733673,106.76372,33.727695,12.145807,24.169327,34.38035,0.0,9.883888,0.0,66.33695,0.0,11.499023,14.790515,0.0,11.499023,11.60094,33.758045,11.3392935,13.847474,10.902925,89.79,12.073272,14.695601,0.0,18.052986,22.880354,39.03672,6.923737,18.1991,77.08325,9.883888,21.074665,24.431177,13.816505,5.4266806,0.016366642,-0.90756834,11.928118,0.0,2.0,0.0,0.0,1.0,8.0,0.0,7.08994,8.3
12.567804,0.15907985,-4.8104343,0.35282877,11.540541,517.5,0.8648649,19.422457,-2.3757532,5.952952,-0.2742066,2.7824912,1.6332632,67251680.0,10.814504,24.633905,22.998047,5.601051,0.0,5.90718,12.331664,4.794537,4.794537,0.0,13.171246,12.132734,92.91624,12.108208,0.0,42.077435,11.876485,0.0,5.3167887,0.0,46.203114,0.0,22.998047,19.527378,13.171246,22.998047,0.0,28.946423,11.3392935,13.847474,0.0,94.09,29.589407,27.866846,0.0,12.108208,28.375439,17.696186,26.837578,49.388306,0.0,10.053652,9.473726,23.877703,11.995026,0.6091638,-0.48660427,-4.8104343,6.3750987,0.0,2.0,0.0,0.0,0.0,10.0,0.0,6.16634,7.33
11.039352,0.32960355,-0.9629186,0.34780926,11.15625,430.5,0.90625,16.503902,-2.2423818,5.7228494,-0.14786422,2.8184566,1.3723557,17917988.0,12.1883745,19.317116,17.248535,6.103966,0.0,0.0,5.9693055,0.0,4.794537,0.0,0.0,42.172703,60.51521,25.514893,6.606882,24.111654,5.9693055,0.0,0.0,0.0,25.366432,13.71668,29.089405,9.473726,0.0,17.248535,0.0,30.896479,15.952222,11.840869,0.0,64.99,12.073272,4.794537,0.0,0.0,13.027703,41.217083,7.1097975,0.0,78.86277,11.840869,19.317116,11.039352,9.052357,1.7975483,7.664631,1.0406692,0.583434,1.4006248,1.0,0.0,0.0,0.0,5.0,0.0,5.3317,8.15
